region_1,region_2
mexico,bajaCalifornia
mexico,bajaCaliforniaSur
mexico,central
mexico,noreste
mexico,noroeste
mexico,norte
mexico,occidental
mexico,oriental
mexico,peninsular
canada,canada_
usa,alabama
usa,alaska
usa,arizona
usa,arkansas
usa,california
usa,colorado
usa,connecticut
usa,delaware
usa,florida
usa,georgia
usa,idaho
usa,illinois
usa,indiana
usa,iowa
usa,kansas
usa,kentucky
usa,louisiana
usa,maine
usa,maryland
usa,massachusetts
usa,michigan
usa,minnesota
usa,mississippi
usa,missouri
usa,montana
usa,nebraska
usa,nevada
usa,newHampshire
usa,newJersey
usa,newMexico
usa,newYork
usa,northCarolina
usa,northDakota
usa,ohio
usa,oklahoma
usa,oregon
usa,pennsylvania
usa,rhodeIsland
usa,southCarolina
usa,southDakota
usa,tennessee
usa,texas
usa,utah
usa,vermont
usa,virginia
usa,washington
usa,westVirginia
usa,wisconsin
usa,wyoming
